Surface_Temp,Bottom_Temp,Surface_Salinity,Bottom_Salinity,temp_strat,salt_strat
16.19029887,10.91050522,30.53914827,31.62550382,5.279793654,1.086355551
14.86302328,7.798937218,32.58477666,32.77198189,7.064086064,0.187205233
17.01138237,16.9657225,30.61919396,30.63097465,0.04565987,0.011780691
17.30159208,17.21206359,30.47465506,30.48923933,0.089528491,0.014584267
17.17877413,17.0961585,30.59834484,30.60989462,0.082615626,0.011549787
17.10967987,17.09915525,31.09605147,31.07263005,0.010524629,0.023421426
17.63978609,17.50116829,30.61035165,30.89236325,0.138617803,0.282011598
16.06395028,15.99961241,31.42285414,31.42737897,0.064337863,0.004524828
16.04708858,15.91170254,31.44685032,31.50630433,0.135386037,0.059454009
16.37959459,16.34186547,31.21482333,31.2328986,0.037729113,0.018075266
16.66550724,16.64013634,31.09768621,31.10840278,0.025370898,0.010716566
17.09538489,17.06633998,30.85704502,30.85761583,0.029044908,0.000570807
16.51068881,16.49783282,31.10176969,31.12671021,0.012855987,0.024940517
15.90073745,13.46270107,31.57825941,31.76298124,2.43803638,0.184721826
16.05884932,15.53564931,31.26664711,31.20062693,0.52320001,0.066020173
16.3261884,16.13514416,30.89011449,30.92639741,0.191044245,0.036282922
16.78550509,16.74374857,30.11470676,30.14904751,0.041756525,0.034340746
16.78550509,16.74374857,30.11470676,30.14904751,0.041756525,0.034340746
16.24538684,16.13003649,29.68467126,29.70928032,0.115350354,0.024609061
17.14070153,12.4570341,28.72098396,30.79028191,4.683667435,2.069297945
16.35844502,10.23807481,27.76906606,30.53037208,6.120370207,2.761306019
16.19790555,7.932347749,28.58232062,31.57424738,8.265557798,2.991926757
16.49550348,9.722368221,27.0708493,30.57395676,6.773135258,3.503107469
17.06172588,10.38855333,25.5526932,31.26126403,6.673172543,5.708570835
17.04004354,11.19577578,26.10976632,31.0225004,5.844267765,4.91273408
17.85794042,14.67604813,24.17838429,28.32761697,3.181892295,4.149232676
5.956091128,5.913677412,30.44917584,30.46961197,0.042413715,0.020436127
6.265040184,6.349604393,30.64721986,30.87828995,0.084564209,0.231070095
6.1419314,6.000855327,30.28646028,30.50154997,0.141076074,0.215089684
5.56385763,5.591210816,30.63745071,30.59531948,0.027353186,0.042131221
5.451433798,5.624358568,29.02396681,30.0088469,0.17292477,0.984880088
5.56868405,5.016651149,25.40646232,29.83833349,0.552032901,4.431871169
5.839688295,5.689212152,29.99212559,30.13436168,0.150476142,0.142236092
5.716317332,5.635537131,30.33045631,30.34329077,0.080780201,0.012834467
5.649795879,5.595072893,30.33386762,30.33578199,0.054722986,0.001914368
5.517047808,5.507757607,30.21550895,30.21511766,0.009290201,0.000391294
6.07504967,6.012195061,28.07602804,30.31273967,0.06285461,2.236711622
6.313945447,6.091438302,30.20516691,30.263573,0.222507144,0.058406098
6.775392148,6.471025572,30.83966457,30.94555863,0.304366576,0.105894058
6.671348816,6.47236381,30.41521725,30.94059266,0.198985006,0.525375413
6.342098228,6.352395026,29.74137174,30.65163355,0.010296798,0.910261807
6.0152722,5.52734828,28.12917511,30.59766252,0.487923921,2.468487407
5.565189814,6.271561228,25.37512916,30.25544124,0.706371414,4.880312078
5.222279216,6.036847304,24.18428426,27.46197991,0.814568089,3.277695655
4.708212025,6.041524783,22.59442947,27.47248401,1.333312758,4.878054545
5.932552454,6.736478004,26.84797386,30.81396033,0.80392555,3.965986464
6.106858692,5.914067215,28.70860411,28.85703371,0.192791477,0.1484296
5.852356821,5.972974375,27.3573358,29.40148903,0.120617554,2.044153233
6.273863833,6.187336105,28.93424386,29.98457178,0.086527727,1.050327926
6.110248471,5.791808389,29.64067369,30.37419365,0.318440082,0.733519956
5.979533322,6.06308283,29.73025484,29.84145586,0.083549509,0.111201021
5.593327242,5.298451851,29.84469348,29.84318726,0.294875391,0.001506214
5.6837889,5.443536009,30.06620447,30.08059975,0.240252891,0.014395276
