Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Little_tunny_or_skipjack_tuna,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Atl_chub_mackerel,Frigate_or_bullet_tuna,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Cobia,Cunner,Am_conger,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Sturgeon,Crested_blenny_refseq_not_full_length,Str_burrfish,Dwarf_goatfish,Fourspot_flounder,Nor_sennet95,Tuna_sp,Atl_moonfish,Atl_silverside,Gulf_stream_flounder,Str_cusk_eel,Nor_stargazer,Grey_triggerfish,Nor_pipefish,Planehead_filefish,Rough_scad,Str_killifish,Mummichog,Rough_silverside94,Sheepshead_minnow,Str_bass,White_mullet,Am_eel,Red_eye_round_herring,Inshore_lizardfish,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Atl_cod,Am_gizzard_shad,Fourspine_stickleback,Catfish_sp,White_perch,Whitefish_Cor,Pac_sand_lance,White_catfish,Atl_salmon
0.053971433,0.067068993,0.087202867,0.123385864,0.055183682,0,0.274811574,0.066937227,0.007378907,0.023981447,0,0.056106045,0.004190165,0.025404522,0.053022716,0.03726348,0,0.017050546,0,0.004875349,0.007721499,0.001712961,0,0.001607548,0.001818373,0.005929479,0.001396722,0,0,0.00463817,0.003452274,0.005639593,0,0.003979339,0,0,0,0,0.001133189,0,0.003136035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022906573,0.07772507,0.025620862,0.015879861,0,0,0.703178509,0.041247051,0.045483372,0.01714822,0,0,0,0,0,0,0,0,0,0.039522082,0,0,0,0,0,0,0.0112884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.045996593,0.020180841,0.109815227,0.103131962,0.01716682,0,0.303498886,0.08295112,0,0.108373739,0.005372821,0.031450662,0,0.028698729,0.063294457,0.02162233,0,0,0,0.018477264,0.002751933,0.001310444,0,0,0.019787708,0,0,0,0,0.003276111,0.007731621,0,0,0.003014022,0,0,0,0,0,0,0,0,0,0,0,0.002096711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.147357471,0.033101478,0.074028071,0.028071047,0.049605639,0,0.126987331,0,0.006381195,0.066560055,0,0,0.007312756,0,0.036330891,0.012094771,0,0,0,0.011442678,0,0,0,0,0.001956279,0.196419699,0,0,0,0.008958514,0.023723761,0,0,0,0.008632468,0,0,0,0,0,0,0.007079866,0,0.034778288,0,0.02005962,0,0,0,0,0,0.008073531,0.054527388,0.005822258,0.030694945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020967138,0.034878028,0.161804096,0.012557242,0.142219406,0,0.053829095,0.020391118,0.016819792,0.147086777,0,0.033322773,0,0.035943665,0.025546499,0.042020679,0,0,0.002419285,0.021139944,0.008409896,0.003456122,0,0,0.003312117,0.180639959,0.001180842,0,0,0,0.012902854,0,0,0,0.008611503,0,0,0,0,0.001641658,0,0,0,0,0,0,0,0,0.002476887,0,0,0,0,0.004752167,0,0,0,0.001209643,0,0.000460816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.087133483,0.044501204,0.073490323,0.046577789,0.173540161,0,0.082357339,0.020869674,0.024877482,0.052246864,0,0.020703547,0.007558767,0.048467481,0.028719163,0.194991278,0,0,0,0,0.009448459,0.002782623,0,0.002927984,0.017713265,0.005855968,0,0,0,0,0.026061135,0.027286319,0,0,0.001889692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021997221,0.065793131,0.030653167,0.041254715,0.137145126,0,0.336827477,0.030375223,0.01421481,0.066587254,0.005122096,0.035417907,0.010363311,0.114472901,0.015644233,0.007980941,0,0,0.007504467,0.015683939,0.014055986,0,0,0.005320627,0.00591622,0,0,0,0,0,0.011117729,0,0,0,0,0,0,0,0,0,0,0,0.006551519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.034771382,0.052802636,0.019055251,0.033435733,0.046079872,0,0.520724812,0.02564445,0.021993678,0.053114287,0,0.028627399,0.008637193,0.039089978,0.013712657,0.008236499,0,0,0,0,0,0.047771693,0.012198923,0,0,0,0,0,0,0,0,0.00440764,0,0,0,0,0,0,0,0,0,0,0.029695917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099418475,0.084656676,0.044397227,0,0.051107135,0,0,0.012972489,0.189331246,0.038358309,0,0.037128159,0,0.083091031,0.069223887,0.017557593,0,0,0,0,0.033549541,0.013978976,0,0,0,0.16730038,0,0,0,0,0,0,0,0,0,0.030418251,0,0,0,0,0,0,0,0.016774771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010735853,0,0,0,0,0,0,0,0,0,0,0
0.001721001,0.115872548,0.136426218,0.012464965,0.005384275,0,0.044770615,0.015193981,0.007424891,0.030682992,0.001696415,0.030879677,0,0.03333825,0.035477209,0.126124797,0,0,0,0,0.030781335,0.069749717,0,0,0,0.191104883,0,0,0,0.001327629,0.033977479,0,0,0.001106358,0.014702267,0.056129223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003663274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
