"","press","depth","tempc","cond","spcond","salinity","vel","rho","station","date","site"
"461",13.65,13.6341499443188,5.71561387802321,28293.9417751901,46057.9135542432,28.4587745967124,1465.56442697821,1022.48336428158,14,"2024-02-08 08:53:33","1"
"471",13.95,13.9335089154893,5.72100818738839,28302.3213991485,46063.4644971827,28.4633796821702,1465.59706826982,1022.4878130034,14,"2024-02-08 08:53:33","1"
"481",14.25,14.2328659917431,5.7183463006798,28308.6396752701,46077.7403154734,28.4724983538286,1465.60263395776,1022.49669793246,14,"2024-02-08 08:53:33","1"
"491",14.55,14.5322215811337,5.74256463903382,28330.5125708181,46077.0155376804,28.4761644875209,1465.71063474893,1022.49835920379,14,"2024-02-08 08:53:33","1"
"501",14.85,14.8315750048914,5.73165926825586,28334.8294844787,46100.3898896977,28.4900226851515,1465.6886676419,1022.51188132339,14,"2024-02-08 08:53:33","1"
"511",15.15,15.1309284099278,5.73314455239887,28319.795748413,46073.7034248623,28.4719769725304,1465.67681707812,1022.49887612334,14,"2024-02-08 08:53:33","1"
"521",15.42315501159,15.4034971121326,5.73234497811029,28312.2213311794,46062.5789397869,28.4641385446968,1465.6681203691,1022.49405022944,14,"2024-02-08 08:53:33","1"
"66",1.65,1.64871317349101,5.27158320616996,26410.7223681648,43622.9618191587,26.7366662491033,1461.37135133405,1021.11310266694,52,"2024-02-08 09:27:11","5"
"72",1.95,1.94845918082356,5.28818526934313,26565.7106017845,43854.9064025199,26.8957845807018,1461.64628391777,1021.23860695694,52,"2024-02-08 09:27:11","5"
"82",2.25,2.24817488927349,5.29681815588219,26663.8852673287,44004.4316372408,26.9980322451909,1461.81625406269,1021.31995183367,52,"2024-02-08 09:27:11","5"
"92",2.55,2.54786711810478,5.29592690542028,26751.4871458075,44150.303156794,27.0962060477275,1461.94174888674,1021.39902083537,52,"2024-02-08 09:27:11","5"
"102",2.85,2.84754687439926,5.30472640283454,26764.5848140075,44159.0933015387,27.1035501816886,1461.99222709923,1021.40535427904,52,"2024-02-08 09:27:11","5"
"112",3.15,3.147226552305,5.32470531480173,26773.7283005748,44145.0758097002,27.0974436936607,1462.07177393152,1021.39994381543,52,"2024-02-08 09:27:11","5"
"122",3.45,3.44689896973743,5.35051213311432,26856.8217544422,44244.4292812108,27.1689173527461,1462.27348428096,1021.45523745807,52,"2024-02-08 09:27:11","5"
"132",3.75,3.74655561628093,5.35614336553656,26919.9166661392,44340.1461476518,27.2344454266879,1462.38448581922,1021.5078473133,52,"2024-02-08 09:27:11","5"
"142",4.05,4.04620019077309,5.36161492429555,26957.2666400786,44393.6640183577,27.2714438187176,1462.45871638383,1021.53793176537,52,"2024-02-08 09:27:11","5"
"152",4.35,4.34582761685332,5.37840513001319,27069.2026030355,44553.3636265383,27.3822331763796,1462.67290378158,1021.62516759892,52,"2024-02-08 09:27:11","5"
"162",4.65,4.64542753455194,5.39191083520693,27193.7607084002,44738.4846182461,27.5097219864818,1462.89465197025,1021.72591863103,52,"2024-02-08 09:27:11","5"
"172",4.95,4.94500200282298,5.40241481802834,27284.4864203757,44872.235616291,27.6019860601208,1463.0594492581,1021.79914034341,52,"2024-02-08 09:27:11","5"
"182",5.25,5.24455308483738,5.41499870098532,27392.3435667335,45030.9793467888,27.7115982425285,1463.25471073483,1021.88584830976,52,"2024-02-08 09:27:11","5"
"192",5.55,5.54408201696479,5.41922880570802,27468.1504440215,45149.3208776996,27.792408560274,1463.37919974918,1021.95065593753,52,"2024-02-08 09:27:11","5"
"202",5.85,5.84358823078776,5.42574310752009,27575.2343951419,45315.630086166,27.906183970755,1463.55476628881,1022.04126908901,52,"2024-02-08 09:27:11","5"
"212",6.15,6.143060755407,5.44922680193129,27752.7951665223,45572.2494154795,28.0843540086319,1463.88137184463,1022.18098923473,52,"2024-02-08 09:27:11","5"
"222",6.45,6.44249884271902,5.47651720143561,27883.8535171575,45746.4567438237,28.2074100787844,1464.1537228357,1022.27675140634,52,"2024-02-08 09:27:11","5"
"232",6.75,6.74190751373574,5.494928571945,28018.3151449424,45939.3027906925,28.3416305508154,1464.40372324055,1022.38224278693,52,"2024-02-08 09:27:11","5"
"242",7.05,7.04129569308801,5.51278829585328,28072.090820394,46000.5335274605,28.3863479400129,1464.53820895314,1022.41708239002,52,"2024-02-08 09:27:11","5"
"252",7.35,7.34067393340961,5.5303357397727,28124.0359361805,46059.1658341028,28.4292546008376,1464.66908006061,1022.45051680817,52,"2024-02-08 09:27:11","5"
"262",7.65,7.64004643421832,5.55103764123437,28147.7806218145,46066.816047884,28.4380584607203,1464.76967941697,1022.45667467644,52,"2024-02-08 09:27:11","5"
"272",7.95,7.9394151568546,5.56804479875096,28184.0828123788,46100.5651456165,28.4639495259969,1464.87674348733,1022.47671368338,52,"2024-02-08 09:27:11","5"
"282",8.25,8.23878130120848,5.59239306126223,28201.7564779739,46092.7597613874,28.4628836009192,1464.97966067951,1022.47467544121,52,"2024-02-08 09:27:11","5"
"292",8.55,8.53814212439661,5.61757326126137,28266.6767578126,46160.8706160536,28.5136311600645,1465.1513708228,1022.51345263933,52,"2024-02-08 09:27:11","5"
"302",8.85,8.83748990085802,5.63863732256853,28341.6551753298,46251.4942765636,28.5789878847869,1465.32467250546,1022.5641934314,52,"2024-02-08 09:27:11","5"
"312",9.15,9.13682863731266,5.649834394455,28363.107421875,46269.593265741,28.5931928578074,1465.39311374771,1022.57560168382,52,"2024-02-08 09:27:11","5"
"322",9.45,9.43616321790323,5.65813803672792,28388.8046875,46298.9706900835,28.6145626158541,1465.45880581592,1022.59297664332,52,"2024-02-08 09:27:11","5"
"332",9.75,9.73549093658726,5.67524384514261,28436.613899009,46351.0804389448,28.6530047914659,1465.58187638389,1022.62287530338,52,"2024-02-08 09:27:11","5"
"342",10.05,10.0348125537309,5.69270724183861,28464.5641088729,46370.2401430259,28.6690615782728,1465.67809434158,1022.63505620239,52,"2024-02-08 09:27:11","5"
"352",10.35,10.3341276584664,5.70481848716736,28511.193359375,46427.88129702,28.7103916035403,1465.78441897612,1022.66776496525,52,"2024-02-08 09:27:11","5"
"362",10.65,10.633433552829,5.72169381786536,28559.7133436074,46481.3455809512,28.7497388017213,1465.90757905603,1022.69838422018,52,"2024-02-08 09:27:11","5"
"372",10.95,10.932725793781,5.74309303657735,28649.3773067245,46594.8193186649,28.8308455560893,1466.10177716768,1022.76146314826,52,"2024-02-08 09:27:11","5"
"382",11.25,11.2320041007273,5.75172303819703,28692.7893432986,46652.327916161,28.871502959307,1466.19301831487,1022.79400590228,52,"2024-02-08 09:27:11","5"
"392",11.55,11.5312713245476,5.7619711709155,28750.2969183976,46730.2578866925,28.9264013289781,1466.30878408833,1022.83760829074,52,"2024-02-08 09:27:11","5"
"402",11.85,11.830527271514,5.77279686131392,28797.2324048925,46790.0797816252,28.9690572159741,1466.41142295936,1022.87148023247,52,"2024-02-08 09:27:11","5"
"412",12.15,12.1297693052541,5.78320217132568,28875.513671875,46901.4131654768,29.0468328674616,1466.55665096836,1022.9331138639,52,"2024-02-08 09:27:11","5"
"422",12.45,12.4289911639031,5.79948487020603,28976.3310161065,47040.2851512247,29.1445252825981,1466.75080012461,1023.00980933566,52,"2024-02-08 09:27:11","5"
"432",12.75,12.7281950402236,5.8107922077179,29038.3779296875,47123.7119349589,29.2034633112905,1466.87585283359,1023.05646376546,52,"2024-02-08 09:27:11","5"
"442",13.05,13.0273780326925,5.81744334742316,29153.2004335583,47299.8361754042,29.3249804606602,1467.06098084363,1023.15302366203,52,"2024-02-08 09:27:11","5"
"452",13.35,13.3265409268289,5.82539964975037,29206.1159141575,47373.458650996,29.3766616824108,1467.16327198774,1023.19431772209,52,"2024-02-08 09:27:11","5"
"462",13.65,13.6256981624364,5.83469312199656,29210.6043641329,47366.4586972894,29.3734271277817,1467.20168246158,1023.19211862917,52,"2024-02-08 09:27:11","5"
"472",13.95,13.9248536259366,5.84114472657398,29231.8151733496,47390.9373865788,29.3912161568679,1467.25510967345,1023.20682932404,52,"2024-02-08 09:27:11","5"
"482",14.25,14.2240062913156,5.84389308402995,29238.354513085,47397.3153023018,29.3959456069551,1467.27708109953,1023.21164883639,52,"2024-02-08 09:27:11","5"
"492",14.55,14.5231580187517,5.8469079963175,29241.9014549802,47398.4320543101,29.3971228701296,1467.29564896412,1023.21363485283,52,"2024-02-08 09:27:11","5"
"502",14.85,14.8223095001803,5.85133898258151,29244.5709298923,47395.9508635972,29.3960948166892,1467.31716053294,1023.21372102419,52,"2024-02-08 09:27:11","5"
"512",15.15,15.1214603236478,5.85138654708862,29248.6296875,47402.455709499,29.4004204894333,1467.32769885453,1023.21852515052,52,"2024-02-08 09:27:11","5"
"522",15.45,15.420610575599,5.85060121405613,29245.8628673699,47399.1781626041,29.3978996177132,1467.32623355453,1023.21801996663,52,"2024-02-08 09:27:11","5"
"531",15.75,15.7197604867286,5.8510340575832,29248.4704487483,47402.7392309708,29.4002805102039,1467.33587693701,1023.22124597311,52,"2024-02-08 09:27:11","5"
"541",16.05,16.0189088455134,5.8511628697768,29256.0061116849,47414.7542430976,29.4083923003585,1467.35151954868,1023.22902873097,52,"2024-02-08 09:27:11","5"
"551",16.35,16.3180574796325,5.85961064145337,29251.6463584025,47394.7106758196,29.3960732093332,1467.37502802097,1023.21975175114,52,"2024-02-08 09:27:11","5"
"561",16.65,16.6172100004052,5.85951730664412,29230.7500168563,47360.9968140411,29.3728476609058,1467.35024796715,1023.20283017644,52,"2024-02-08 09:27:11","5"
"571",16.9737884659972,16.9400798772337,5.86537424403796,29282.6250724363,47436.0440941237,29.425131318899,1467.44514383447,1023.24493449205,52,"2024-02-08 09:27:11","5"
"67",1.65,1.64703703460762,5.67746914913721,28072.1418231086,45753.6794946106,28.2502089546789,1464.95053312533,1022.26685764232,11,"2024-02-08 10:27:07","1"
"73",1.95,1.9464605433222,5.67032688262718,28093.4876836103,45799.1331346447,28.2797403488415,1464.96359426631,1022.29233628639,11,"2024-02-08 10:27:07","1"
"83",2.25,2.24587364118693,5.68571598708771,28158.0890074301,45881.4274030281,28.3383292227412,1465.1051273699,1022.3383382498,11,"2024-02-08 10:27:07","1"
"93",2.55,2.54527805514177,5.68379723903749,28170.5526600354,45904.606331115,28.3536342008569,1465.12151589347,1022.35202656596,11,"2024-02-08 10:27:07","1"
"103",2.85,2.84467963168192,5.68399170054316,28176.1856515197,45913.4944476943,28.3595866921243,1465.13470462211,1022.35810457586,11,"2024-02-08 10:27:07","1"
"113",3.15,3.14407627962015,5.68433806633467,28206.9540525538,45963.1131549503,28.3932920440424,1465.18354669071,1022.38607544039,11,"2024-02-08 10:27:07","1"
"123",3.45,3.44346616597881,5.68396689928754,28226.3826738873,45995.3283852334,28.4150260756853,1465.21435531993,1022.40467287156,11,"2024-02-08 10:27:07","1"
